dataset,source_path,csv_path,source_format,rows,columns,features,target_column_original,target_column,classes,status,error
cloud,C:\Users\dovan\Documents\ChatGPT\ROCH\data\cloud.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\cloud.csv,arff,108,8,7,binaryClass,target,2,converted,
dataset,C:\Users\dovan\Documents\ChatGPT\ROCH\data\dataset_,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\dataset.csv,arff,2000,101,100,class,target,10,converted,
dataset_114_shuttle-landing-control,C:\Users\dovan\Documents\ChatGPT\ROCH\data\dataset_114_shuttle-landing-control.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\dataset_114_shuttle-landing-control.csv,arff,15,7,6,Class,target,2,converted,
dataset_41_glass,C:\Users\dovan\Documents\ChatGPT\ROCH\data\dataset_41_glass.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\dataset_41_glass.csv,arff,214,10,9,Type,target,6,converted,
dataset_4_labor,C:\Users\dovan\Documents\ChatGPT\ROCH\data\dataset_4_labor.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\dataset_4_labor.csv,arff,57,17,16,class,target,2,converted,
file19a81543501,C:\Users\dovan\Documents\ChatGPT\ROCH\data\file19a81543501.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\file19a81543501.csv,arff,1000,8,7,gender,target,2,converted,
fruitfly,C:\Users\dovan\Documents\ChatGPT\ROCH\data\fruitfly.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\fruitfly.csv,arff,125,5,4,binaryClass,target,2,converted,
leukemia,C:\Users\dovan\Documents\ChatGPT\ROCH\data\leukemia.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\leukemia.csv,arff,72,7130,7129,CLASS,target,2,converted,
php90oy2B,C:\Users\dovan\Documents\ChatGPT\ROCH\data\php90oy2B.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\php90oy2B.csv,arff,50,5,4,Sex,target,2,converted,
php9xWOpn,C:\Users\dovan\Documents\ChatGPT\ROCH\data\php9xWOpn.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\php9xWOpn.csv,arff,1941,34,33,Class,target,2,converted,
phpOJxGL9,C:\Users\dovan\Documents\ChatGPT\ROCH\data\phpOJxGL9.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\phpOJxGL9.csv,arff,583,11,10,Class,target,2,converted,
prnn_synth,C:\Users\dovan\Documents\ChatGPT\ROCH\data\prnn_synth.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\prnn_synth.csv,arff,250,3,2,yc,target,2,converted,
quake,C:\Users\dovan\Documents\ChatGPT\ROCH\data\quake.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\quake.csv,arff,2178,4,3,binaryClass,target,2,converted,
rabe_266,C:\Users\dovan\Documents\ChatGPT\ROCH\data\rabe_266.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\rabe_266.csv,arff,120,3,2,binaryClass,target,2,converted,
sleuth_case2002,C:\Users\dovan\Documents\ChatGPT\ROCH\data\sleuth_case2002.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\sleuth_case2002.csv,arff,147,7,6,binaryClass,target,2,converted,
tecator,C:\Users\dovan\Documents\ChatGPT\ROCH\data\tecator.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\tecator.csv,arff,240,125,124,binaryClass,target,2,converted,
titanic,C:\Users\dovan\Documents\ChatGPT\ROCH\data\titanic.arff,C:\Users\dovan\Documents\ChatGPT\ROCH\data\csv\titanic.csv,arff,2201,4,3,class,target,2,converted,
