dataset,paper_group,kernel,variant,algorithm,objective_test_delta,accuracy_test_delta,balanced_accuracy_test_delta,f1_macro_test_delta,minority_f1_test_delta,support_vectors_delta,model_fits_delta,elapsed_tuning_seconds_delta
cloud,experiment_2,linear,robust_hybrid,New 1 - robust_hybrid,-0.045454545454545414,-0.045454545454545414,-0.033333333333333326,-0.016516516516516477,0.0,1,8,0.25757919999887235
cloud,experiment_2,linear,user_formula_1,New 2 - user_formula_1,-0.045454545454545414,-0.045454545454545414,0.004761904761904745,0.07694753577106511,0.2,2,28,0.15210740000475192
cloud,experiment_2,linear,user_formula_2,New 3 - user_formula_2,-0.045454545454545414,-0.045454545454545414,0.004761904761904745,0.07694753577106511,0.2,2,28,0.13402589999896003
cloud,experiment_2,poly,robust_hybrid,New 1 - robust_hybrid,0.045454545454545414,0.045454545454545414,0.0714285714285714,0.07619933829611247,0.1282051282051282,-6,-14,-0.55694150000636
cloud,experiment_2,poly,user_formula_1,New 2 - user_formula_1,0.045454545454545414,0.045454545454545414,0.033333333333333215,0.03409090909090906,0.030303030303030276,-11,-22,-0.48146679998899344
cloud,experiment_2,poly,user_formula_2,New 3 - user_formula_2,0.045454545454545414,0.045454545454545414,0.033333333333333215,0.03409090909090906,0.030303030303030276,-11,-22,-0.42287320000468753
cloud,experiment_2,sigmoid,robust_hybrid,New 1 - robust_hybrid,-0.045454545454545414,-0.045454545454545414,-0.033333333333333326,-0.028758169934640587,-0.0222222222222222,2,-13,2.3065210999920964
cloud,experiment_2,sigmoid,user_formula_1,New 2 - user_formula_1,-0.045454545454545414,-0.045454545454545414,-0.033333333333333326,-0.028758169934640587,-0.0222222222222222,2,-13,2.269859299995005
cloud,experiment_2,sigmoid,user_formula_2,New 3 - user_formula_2,0.0,0.0,0.0,0.0,0.0,0,64,2.2111038000002736
cloud,experiment_2,rbf,robust_hybrid,New 1 - robust_hybrid,-0.09090909090909094,-0.09090909090909094,-0.1428571428571429,-0.1753515301902399,-0.3076923076923077,26,-28,0.3325610999891071
cloud,experiment_2,rbf,user_formula_1,New 2 - user_formula_1,-0.09090909090909094,-0.09090909090909094,-0.1428571428571429,-0.1753515301902399,-0.3076923076923077,27,-32,0.49134559999220095
cloud,experiment_2,rbf,user_formula_2,New 3 - user_formula_2,-0.09090909090909094,-0.09090909090909094,-0.1428571428571429,-0.1753515301902399,-0.3076923076923077,27,-36,0.1453655999939656
dataset,multiclass,linear,robust_hybrid,New 1 - robust_hybrid,0.03249999999999997,0.03249999999999997,0.032500000000000084,0.030492866889238912,,-38,-277,143.37778909999173
dataset,multiclass,linear,user_formula_1,New 2 - user_formula_1,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03254942528596583,,-35,-335,184.42501369999076
dataset,multiclass,linear,user_formula_2,New 3 - user_formula_2,0.012499999999999956,0.012499999999999956,0.012500000000000067,0.009926917788075418,,-50,113,271.048341799993
dataset,multiclass,poly,robust_hybrid,New 1 - robust_hybrid,0.007500000000000062,0.007500000000000062,0.007499999999999951,0.006310621489565071,,22,-2594,-8848.933832500014
dataset,multiclass,poly,user_formula_1,New 2 - user_formula_1,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000001155,-0.006573043433939718,,-397,-2730,-9146.90892810002
dataset,multiclass,poly,user_formula_2,New 3 - user_formula_2,-0.0024999999999999467,-0.0024999999999999467,-0.0025000000000000577,-0.0037488473663666033,,58,-2803,234.9967941000068
