dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,linear,author_original,1,ok,,"{""C"": 0.1}",accuracy,0.5,2,0.0294117647058823,0.5,0.1134521999920252
cloud,cloud,experiment_2,linear,author_original,2,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0539245999971171
cloud,cloud,experiment_2,linear,author_original,3,ok,,"{""C"": 10.0}",accuracy,0.6666666666666666,8,0.1176470588235294,0.6666666666666666,0.0633380999934161
cloud,cloud,experiment_2,linear,author_original,4,ok,,"{""C"": 100.0}",accuracy,0.6666666666666666,11,0.1617647058823529,0.6666666666666666,0.0582699999940814
cloud,cloud,experiment_2,linear,robust_hybrid,1,ok,,"{""C"": 0.1}",accuracy,0.4444444444444444,12,0.1764705882352941,0.4444444444444444,0.2427664999995613
cloud,cloud,experiment_2,linear,robust_hybrid,2,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,9,0.1323529411764706,0.7222222222222222,0.0927760999911697
cloud,cloud,experiment_2,linear,robust_hybrid,3,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0987774999957764
cloud,cloud,experiment_2,linear,robust_hybrid,4,ok,,"{""C"": 100.0}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.1111136999970767
cloud,cloud,experiment_2,linear,user_formula_1,1,ok,,"{""C"": 0.1}",accuracy,0.6111111111111112,4,0.0588235294117647,0.6111111111111112,0.1949459000024944
cloud,cloud,experiment_2,linear,user_formula_1,2,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.0746254999976372
cloud,cloud,experiment_2,linear,user_formula_1,3,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0784973999980138
cloud,cloud,experiment_2,linear,user_formula_1,4,ok,,"{""C"": 100.0}",accuracy,0.6666666666666666,7,0.1029411764705882,0.6666666666666666,0.0930332999996608
cloud,cloud,experiment_2,linear,user_formula_2,1,ok,,"{""C"": 0.1}",accuracy,0.5,2,0.0294117647058823,0.5,0.1541480000014417
cloud,cloud,experiment_2,linear,user_formula_2,2,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.0764079999935347
cloud,cloud,experiment_2,linear,user_formula_2,3,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0648102999984985
cloud,cloud,experiment_2,linear,user_formula_2,4,ok,,"{""C"": 100.0}",accuracy,0.6666666666666666,8,0.1176470588235294,0.6666666666666666,0.1276445999974385
cloud,cloud,experiment_2,poly,author_original,1,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.0702640999952564
cloud,cloud,experiment_2,poly,author_original,2,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.0724037000036332
cloud,cloud,experiment_2,poly,author_original,3,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.2777777777777778,3,0.0441176470588235,0.2777777777777778,0.2590711999946506
cloud,cloud,experiment_2,poly,author_original,4,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0756139000004623
cloud,cloud,experiment_2,poly,author_original,5,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0481310000031953
cloud,cloud,experiment_2,poly,author_original,6,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0585009000060381
cloud,cloud,experiment_2,poly,author_original,7,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0458331999980146
cloud,cloud,experiment_2,poly,author_original,8,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0435396999964723
cloud,cloud,experiment_2,poly,author_original,9,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0649798000085866
cloud,cloud,experiment_2,poly,author_original,10,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0525658000115072
cloud,cloud,experiment_2,poly,author_original,11,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0562780000036582
cloud,cloud,experiment_2,poly,author_original,12,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7222222222222222,9,0.1323529411764706,0.7222222222222222,0.0751181999949039
cloud,cloud,experiment_2,poly,author_original,13,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.0521545999945374
cloud,cloud,experiment_2,poly,author_original,14,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0294799999974202
cloud,cloud,experiment_2,poly,author_original,15,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.031598399989889
cloud,cloud,experiment_2,poly,author_original,16,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0248046000051544
cloud,cloud,experiment_2,poly,author_original,17,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0292946999979903
cloud,cloud,experiment_2,poly,author_original,18,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7222222222222222,15,0.2205882352941176,0.7222222222222222,0.0618838000082178
cloud,cloud,experiment_2,poly,author_original,19,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0308125000010477
cloud,cloud,experiment_2,poly,author_original,20,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7222222222222222,14,0.2058823529411764,0.7222222222222222,0.0859498000063467
cloud,cloud,experiment_2,poly,author_original,21,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7777777777777778,26,0.3823529411764705,0.7777777777777778,0.0914783000043826
cloud,cloud,experiment_2,poly,author_original,22,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0268123999994713
cloud,cloud,experiment_2,poly,author_original,23,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.7222222222222222,19,0.2794117647058823,0.7222222222222222,0.0647441000037361
cloud,cloud,experiment_2,poly,author_original,24,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7777777777777778,23,0.3382352941176471,0.7777777777777778,0.0477106000034837
cloud,cloud,experiment_2,poly,author_original,25,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7777777777777778,17,0.25,0.7777777777777778,0.048892099992372
cloud,cloud,experiment_2,poly,author_original,26,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,24,0.3529411764705882,0.7222222222222222,0.0472087000089231
cloud,cloud,experiment_2,poly,author_original,27,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0482541000092169
cloud,cloud,experiment_2,poly,author_original,28,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,16,0.2352941176470588,0.7222222222222222,0.066576500001247
cloud,cloud,experiment_2,poly,author_original,29,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.6666666666666666,28,0.4117647058823529,0.6666666666666666,0.1054003000026568
cloud,cloud,experiment_2,poly,author_original,30,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7222222222222222,32,0.4705882352941176,0.7222222222222222,0.0838645000039832
cloud,cloud,experiment_2,poly,author_original,31,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,11,0.1617647058823529,0.7222222222222222,0.0375132000044686
cloud,cloud,experiment_2,poly,author_original,32,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.6666666666666666,37,0.5441176470588235,0.6666666666666666,0.0963330999948084
cloud,cloud,experiment_2,poly,author_original,33,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7222222222222222,33,0.4852941176470588,0.7222222222222222,0.0565167000022484
cloud,cloud,experiment_2,poly,author_original,34,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,15,0.2205882352941176,0.7222222222222222,0.0922340000106487
cloud,cloud,experiment_2,poly,author_original,35,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.6666666666666666,38,0.5588235294117647,0.6666666666666666,0.0784798999957274
cloud,cloud,experiment_2,poly,author_original,36,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7222222222222222,42,0.6176470588235294,0.7222222222222222,0.0587708999955793
