dataset,paper_name,paper_group,kernel,variant,algorithm,status,error,n_samples,n_features,n_classes,binary_problems,validation_metric,validation_score,selection_objective,selection_utility,minority_label,priority_strategy,insertion_strategy,best_C,best_gamma,best_degree,best_coef0,selected_total,accepted_candidates,rejected_candidates,support_vectors,batch_attempts,model_fits,initial_core_repairs,fit_time_seconds,elapsed_tuning_seconds,accuracy_train,balanced_accuracy_train,precision_macro_train,recall_macro_train,f1_macro_train,minority_f1_train,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,minority_f1_test,objective_test
cloud,cloud,experiment_2,linear,author_original,Author original BSVM,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,author_original,sequential,1.0,scale,3,0.0,27,3,41,6,26,37,1,0.0449711000110255,0.0928991999971913,0.7352941176470589,0.55,0.8636363636363636,0.55,0.5119617224880383,0.1818181818181818,0.6818181818181818,0.5,0.3409090909090909,0.5,0.4054054054054054,0.0,0.6818181818181818
cloud,cloud,experiment_2,linear,robust_hybrid,New 1 - robust_hybrid,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,robust_hybrid,binary_tree,1.0,scale,3,0.0,38,14,30,9,50,61,1,0.104098800002248,0.189514900004724,0.75,0.5895833333333333,0.773015873015873,0.5895833333333333,0.5834234234234235,0.32,0.6818181818181818,0.5380952380952381,0.6,0.5380952380952381,0.5111111111111111,0.2222222222222222,0.6818181818181818
cloud,cloud,experiment_2,linear,user_formula_1,New 2 - user_formula_1,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,user_formula_1,binary_tree,1.0,scale,3,0.0,35,11,33,8,54,65,1,0.0813171000045258,0.1696055000065826,0.7352941176470589,0.5791666666666667,0.7043010752688172,0.5791666666666667,0.572027972027972,0.3076923076923077,0.6363636363636364,0.5047619047619047,0.5087719298245614,0.5047619047619047,0.4823529411764705,0.2,0.6363636363636364
cloud,cloud,experiment_2,linear,user_formula_2,New 3 - user_formula_2,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,user_formula_2,binary_tree,1.0,scale,3,0.0,35,11,33,8,54,65,1,0.0985946000000694,0.2790989999921294,0.7352941176470589,0.5791666666666667,0.7043010752688172,0.5791666666666667,0.572027972027972,0.3076923076923077,0.6363636363636364,0.5047619047619047,0.5087719298245614,0.5047619047619047,0.4823529411764705,0.2,0.6363636363636364
cloud,cloud,experiment_2,rbf,author_original,Author original BSVM,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,author_original,sequential,10.0,0.01,3,0.0,29,4,39,7,30,37,1,0.0408901999908266,0.4618937000050209,0.7205882352941176,0.5395833333333333,0.6948717948717948,0.5395833333333333,0.5028857252789534,0.1739130434782608,0.6818181818181818,0.5,0.3409090909090909,0.5,0.4054054054054054,0.0,0.6818181818181818
cloud,cloud,experiment_2,rbf,robust_hybrid,New 1 - robust_hybrid,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,robust_hybrid,binary_tree,10.0,0.1,3,0.0,49,18,19,28,46,47,0,0.0846880000026431,0.4895696000021416,0.8235294117647058,0.7291666666666667,0.8273809523809523,0.7291666666666667,0.7548076923076923,0.625,0.5,0.3666666666666666,0.3055555555555556,0.3666666666666666,0.3333333333333333,0.0,0.5
cloud,cloud,experiment_2,rbf,user_formula_1,New 2 - user_formula_1,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,user_formula_1,binary_tree,10.0,0.1,3,0.0,49,18,19,29,42,43,0,0.0589763000025413,0.4999801999947522,0.8235294117647058,0.7291666666666667,0.8273809523809523,0.7291666666666667,0.7548076923076923,0.625,0.5,0.3666666666666666,0.3055555555555556,0.3666666666666666,0.3333333333333333,0.0,0.5
cloud,cloud,experiment_2,rbf,user_formula_2,New 3 - user_formula_2,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,user_formula_2,binary_tree,10.0,0.1,3,0.0,49,18,19,29,38,39,0,0.0612219000031473,0.5866538000118453,0.8235294117647058,0.7291666666666667,0.8273809523809523,0.7291666666666667,0.7548076923076923,0.625,0.5,0.3666666666666666,0.3055555555555556,0.3666666666666666,0.3333333333333333,0.0,0.5
fruitfly,fruitfly,experiment_1,linear,author_original,Author original BSVM,ok,,125,4,2,1,minority_f1,0.1666666666666666,paper,0.1666666666666666,N,author_original,sequential,1.0,scale,3,0.0,36,10,44,11,87,88,0,0.1173500000004423,0.1886787999974331,0.6125,0.565174456879526,0.5775862068965517,0.565174456879526,0.5626873567272086,0.4150943396226415,0.6,0.55,0.5657894736842105,0.55,0.5404411764705883,0.375,0.375
fruitfly,fruitfly,experiment_1,linear,robust_hybrid,New 1 - robust_hybrid,ok,,125,4,2,1,minority_f1,0.4615384615384615,paper,0.4615384615384615,N,robust_hybrid,binary_tree,1.0,scale,3,0.0,45,19,35,12,94,95,0,0.1389047999982722,0.3150712999922689,0.6125,0.5770243581303489,0.5833333333333333,0.5770243581303489,0.5775847385453926,0.4561403508771929,0.6,0.5666666666666667,0.5735294117647058,0.5666666666666667,0.5659722222222222,0.4444444444444444,0.4444444444444444
