dataset,paper_group,kernel,variant,algorithm,objective_test_delta,accuracy_test_delta,balanced_accuracy_test_delta,f1_macro_test_delta,minority_f1_test_delta,support_vectors_delta,model_fits_delta,elapsed_tuning_seconds_delta
cloud,experiment_2,linear,robust_hybrid,New 1 - robust_hybrid,0.0,0.0,0.03809523809523807,0.1057057057057057,0.2222222222222222,3,24,0.09661570000753271
cloud,experiment_2,linear,user_formula_1,New 2 - user_formula_1,-0.045454545454545414,-0.045454545454545414,0.004761904761904745,0.07694753577106511,0.2,2,28,0.07670630000939128
cloud,experiment_2,linear,user_formula_2,New 3 - user_formula_2,-0.045454545454545414,-0.045454545454545414,0.004761904761904745,0.07694753577106511,0.2,2,28,0.18619979999493808
cloud,experiment_2,rbf,robust_hybrid,New 1 - robust_hybrid,-0.18181818181818177,-0.18181818181818177,-0.13333333333333341,-0.07207207207207206,0.0,21,10,0.027675899997120723
cloud,experiment_2,rbf,user_formula_1,New 2 - user_formula_1,-0.18181818181818177,-0.18181818181818177,-0.13333333333333341,-0.07207207207207206,0.0,22,6,0.03808649998973129
cloud,experiment_2,rbf,user_formula_2,New 3 - user_formula_2,-0.18181818181818177,-0.18181818181818177,-0.13333333333333341,-0.07207207207207206,0.0,22,2,0.12476010000682441
fruitfly,experiment_1,linear,robust_hybrid,New 1 - robust_hybrid,0.06944444444444442,0.0,0.016666666666666607,0.025531045751633896,0.06944444444444442,1,7,0.12639249999483582
fruitfly,experiment_1,linear,user_formula_1,New 2 - user_formula_1,0.125,0.0,0.033333333333333215,0.042892156862744946,0.125,-3,1,0.09479190000274679
fruitfly,experiment_1,linear,user_formula_2,New 3 - user_formula_2,0.22499999999999998,0.08000000000000007,0.11666666666666659,0.12622549019607832,0.22499999999999998,-2,1,0.041182300003129
fruitfly,experiment_1,rbf,robust_hybrid,New 1 - robust_hybrid,0.10303030303030303,0.24000000000000005,0.18333333333333335,0.25865800865800875,0.10303030303030303,18,0,-0.2606353000010131
fruitfly,experiment_1,rbf,user_formula_1,New 2 - user_formula_1,-0.16969696969696973,0.0,-0.06666666666666671,0.015151515151515249,-0.16969696969696973,6,70,-0.3170104000164429
fruitfly,experiment_1,rbf,user_formula_2,New 3 - user_formula_2,-0.10476190476190483,-0.08000000000000002,-0.09999999999999998,-0.06601731601731597,-0.10476190476190483,8,68,-0.3459105000074487
fruitfly,experiment_2,linear,robust_hybrid,New 1 - robust_hybrid,-0.07999999999999996,-0.07999999999999996,-0.08333333333333337,-0.10395010395010396,-0.1538461538461539,-1,48,0.11465400000452061
fruitfly,experiment_2,linear,user_formula_1,New 2 - user_formula_1,-0.07999999999999996,-0.07999999999999996,-0.08333333333333337,-0.10395010395010396,-0.1538461538461539,0,26,0.053052300005219905
fruitfly,experiment_2,linear,user_formula_2,New 3 - user_formula_2,-0.07999999999999996,-0.07999999999999996,-0.08333333333333337,-0.10395010395010396,-0.1538461538461539,0,26,0.009990300008212188
fruitfly,experiment_2,rbf,robust_hybrid,New 1 - robust_hybrid,-0.12000000000000005,-0.12000000000000005,0.016666666666666607,0.07284382284382285,0.5,2,-29,-0.4521443999838084
fruitfly,experiment_2,rbf,user_formula_1,New 2 - user_formula_1,-0.16000000000000003,-0.16000000000000003,-0.0500000000000001,0.041025641025641046,0.4,-7,-22,-0.47790250000252854
fruitfly,experiment_2,rbf,user_formula_2,New 3 - user_formula_2,-0.24000000000000005,-0.24000000000000005,-0.08333333333333337,-0.08053632841408737,0.4516129032258064,-7,-22,-0.4579563000006601
