dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,linear,author_original,1,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0460304000007454
cloud,cloud,experiment_2,linear,author_original,2,ok,,"{""C"": 10.0}",accuracy,0.6666666666666666,8,0.1176470588235294,0.6666666666666666,0.0457810000079916
cloud,cloud,experiment_2,linear,robust_hybrid,1,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,9,0.1323529411764706,0.7222222222222222,0.1057318999955896
cloud,cloud,experiment_2,linear,robust_hybrid,2,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0828191000036895
cloud,cloud,experiment_2,linear,user_formula_1,1,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.0823505999869667
cloud,cloud,experiment_2,linear,user_formula_1,2,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.0863536999968346
cloud,cloud,experiment_2,linear,user_formula_2,1,ok,,"{""C"": 1.0}",accuracy,0.7222222222222222,8,0.1176470588235294,0.7222222222222222,0.1001513999945018
cloud,cloud,experiment_2,linear,user_formula_2,2,ok,,"{""C"": 10.0}",accuracy,0.7222222222222222,13,0.1911764705882352,0.7222222222222222,0.1778527999995276
cloud,cloud,experiment_2,rbf,author_original,1,ok,,"{""C"": 1.0, ""gamma"": 0.01}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.1117151999933412
cloud,cloud,experiment_2,rbf,author_original,2,ok,,"{""C"": 1.0, ""gamma"": 0.1}",accuracy,0.7222222222222222,17,0.25,0.7222222222222222,0.2095371000032173
cloud,cloud,experiment_2,rbf,author_original,3,ok,,"{""C"": 10.0, ""gamma"": 0.01}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0420937000017147
